name;date(date_from);time(date_from);date(date_to);time(date_to);granularity;line_name;fw_count;bw_count
xovis-0floor;2023-05-01;21:00:00;2023-05-02;14:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-02;14:00:00;2023-05-02;15:00:00;3600;Вход в цоколе;27;19
xovis-0floor;2023-05-02;15:00:00;2023-05-02;16:00:00;3600;Вход в цоколе;17;19
xovis-0floor;2023-05-02;16:00:00;2023-05-02;17:00:00;3600;Вход в цоколе;8;11
xovis-0floor;2023-05-02;17:00:00;2023-05-02;18:00:00;3600;Вход в цоколе;20;20
xovis-0floor;2023-05-02;18:00:00;2023-05-02;19:00:00;3600;Вход в цоколе;25;24
xovis-0floor;2023-05-02;19:00:00;2023-05-02;20:00:00;3600;Вход в цоколе;21;21
xovis-0floor;2023-05-02;20:00:00;2023-05-02;21:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-02;21:00:00;2023-05-02;22:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-02;22:00:00;2023-05-02;23:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-02;23:00:00;2023-05-03;00:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;00:00:00;2023-05-03;01:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;01:00:00;2023-05-03;02:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;02:00:00;2023-05-03;03:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;03:00:00;2023-05-03;04:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;04:00:00;2023-05-03;05:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;05:00:00;2023-05-03;06:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;06:00:00;2023-05-03;07:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;07:00:00;2023-05-03;08:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;08:00:00;2023-05-03;09:00:00;3600;Вход в цоколе;1;1
xovis-0floor;2023-05-03;09:00:00;2023-05-03;10:00:00;3600;Вход в цоколе;6;2
xovis-0floor;2023-05-03;10:00:00;2023-05-03;11:00:00;3600;Вход в цоколе;10;5
xovis-0floor;2023-05-03;11:00:00;2023-05-03;12:00:00;3600;Вход в цоколе;31;24
xovis-0floor;2023-05-03;12:00:00;2023-05-03;13:00:00;3600;Вход в цоколе;22;25
xovis-0floor;2023-05-03;13:00:00;2023-05-03;14:00:00;3600;Вход в цоколе;12;11
xovis-0floor;2023-05-03;14:00:00;2023-05-03;15:00:00;3600;Вход в цоколе;26;21
xovis-0floor;2023-05-03;15:00:00;2023-05-03;16:00:00;3600;Вход в цоколе;19;23
xovis-0floor;2023-05-03;16:00:00;2023-05-03;17:00:00;3600;Вход в цоколе;23;17
xovis-0floor;2023-05-03;17:00:00;2023-05-03;18:00:00;3600;Вход в цоколе;17;19
xovis-0floor;2023-05-03;18:00:00;2023-05-03;19:00:00;3600;Вход в цоколе;14;18
xovis-0floor;2023-05-03;19:00:00;2023-05-03;20:00:00;3600;Вход в цоколе;13;10
xovis-0floor;2023-05-03;20:00:00;2023-05-03;21:00:00;3600;Вход в цоколе;3;9
xovis-0floor;2023-05-03;21:00:00;2023-05-03;22:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;22:00:00;2023-05-03;23:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-03;23:00:00;2023-05-04;00:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;00:00:00;2023-05-04;01:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;01:00:00;2023-05-04;02:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;02:00:00;2023-05-04;03:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;03:00:00;2023-05-04;04:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;04:00:00;2023-05-04;05:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;05:00:00;2023-05-04;06:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;06:00:00;2023-05-04;07:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;07:00:00;2023-05-04;08:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-04;08:00:00;2023-05-04;09:00:00;3600;Вход в цоколе;1;1
xovis-0floor;2023-05-04;09:00:00;2023-05-04;10:00:00;3600;Вход в цоколе;8;6
xovis-0floor;2023-05-04;10:00:00;2023-05-04;11:00:00;3600;Вход в цоколе;18;19
